Date,Price
Apr 21,2.56
May 21,2.62
Jun 21,2.68
Jul 21,2.74
Aug 21,2.76
Nov 21,2.82
Sep 21,2.74
Oct 21,2.76
Dec 21,2.95
Jan 22,3.04
Feb 22,2.98
Mar 22,2.80
Apr 22,2.46
May 22,2.42
Jun 22,2.47
Jul 22,2.49
Aug 22,2.51
Nov 22,2.58
Sep 22,2.49
Oct 22,2.52
Dec 22,2.75
Jan 23,2.85
Feb 23,2.81
Mar 23,2.65
Apr 23,2.37
May 23,2.34
Jun 23,2.39
Jul 23,2.44
Aug 23,2.44
Nov 23,2.54
Sep 23,2.42
Oct 23,2.46
Dec 23,2.73
Jan 24,2.85
Feb 24,2.81
Mar 24,2.66
Apr 24,2.39
May 24,2.35
Jun 24,2.35
Jul 24,2.41
Aug 24,2.45
Nov 24,2.55
Sep 24,2.44
Oct 24,2.45
Dec 24,2.75
Jan 25,2.88
Feb 25,2.84
Mar 25,2.69
Apr 25,2.39
